Year,University,School,Degree,Hons,Overall_Employment_Rate,Full-Time_Employment_Rate,Gross_Monthly_Mean,Gross_Monthly_Median,Gross_Monthly_25th_Percentile,Gross_Monthly_75th_Percentile
2017,Singapore Institute of Technology,University of Manchester,Nursing,Yes,98.2,96.5,3741,3650,3600,3900
2017,Singapore Institute of Technology,University of Liverpool,Criminology and Security,Yes,86.4,69.5,3825,3800,3050,4160
2017,Singapore Institute of Technology,Wheelock College,Early Childhood Education,No,96.4,92.9,2890,2900,2800,3000
2017,Singapore Institute of Technology,Singapore Institute of Technology,Accountancy,Yes,94.1,92.1,3113,3088,2975,3250
2017,Singapore Institute of Technology,Singapore Institute of Technology,Hospitality Business,Yes,94.7,84.2,2829,2800,2500,3100
2018,Nanyang Technological University,Business,Accountancy,No,94.6,92.2,3245,3000,3000,3200
2018,Nanyang Technological University,Business,Accountancy and Business,No,99.2,97.7,4456,4000,3600,4633
2018,Nanyang Technological University,Business,Business,No,92.6,84.3,3776,3500,3200,4000
2018,Nanyang Technological University,Business,Business and Computing,No,100,100,4572,4575,4200,4900
2018,Nanyang Technological University,Engineering,Aerospace Engineering,No,95.3,88.4,3873,3800,3365,4280
2018,Nanyang Technological University,Engineering,Bioengineering,No,77.5,66.2,3660,3500,3200,4000
2018,Nanyang Technological University,Engineering,Chemical & Biomolecular Engineering,No,91.6,86,3782,3600,3300,4200
2018,Nanyang Technological University,Engineering,Civil Engineering,No,96.5,96.5,3597,3500,3200,3816
2018,Nanyang Technological University,Engineering,Computer Engineering,No,95.8,95.8,3865,3775,3400,4200
2018,Nanyang Technological University,Engineering,Computer Science,No,94.4,93,4062,4000,3500,4500
2018,Nanyang Technological University,Engineering,Electrical & Electronic Engineering,No,92.7,91,3772,3600,3323,4000
2018,Nanyang Technological University,Engineering,Environmental Engineering,No,92.1,81.6,3485,3400,3000,3500
2018,Nanyang Technological University,Engineering,Information Engineering & Media,No,93.2,89,3800,3750,3500,4140
2018,Nanyang Technological University,Engineering,Maritime Studies,No,93.3,90,3409,3350,3000,3640
2018,Nanyang Technological University,Engineering,Materials Engineering,No,86.5,81.9,3650,3500,3200,4000
2018,Nanyang Technological University,Engineering,Mechanical Engineering,No,85.6,81.1,3653,3500,3200,4000
2018,Nanyang Technological University,Arts & Social Sciences,"Art, Design & Media",No,85.7,53.8,2986,3000,2600,3300
2018,Nanyang Technological University,Arts & Social Sciences,Chinese,No,86.4,76.3,3260,3500,3000,3518
2018,Nanyang Technological University,Arts & Social Sciences,Communication Studies,No,95,84.2,3166,3000,2750,3500
2018,Nanyang Technological University,Arts & Social Sciences,Economics,No,90.1,84,3755,3536,3200,3959
2018,Nanyang Technological University,Arts & Social Sciences,English,No,81.6,59.2,3124,3000,2600,3500
2018,Nanyang Technological University,Arts & Social Sciences,History,No,74.4,56.4,3719,3500,3260,4150
2018,Nanyang Technological University,Arts & Social Sciences,Linguistics & Multilingual Studies,No,79.2,45.8,3091,3200,2900,3500
2018,Nanyang Technological University,Arts & Social Sciences,Philosophy,No,80,76,3126,3000,2550,3500
2018,Nanyang Technological University,Arts & Social Sciences,Psychology,No,90.1,78,3355,3370,3000,3684
2018,Nanyang Technological University,Arts & Social Sciences,Public Policy and Global Affairs,No,80.6,71,3619,3350,3050,4018
2018,Nanyang Technological University,Arts & Social Sciences,Sociology,No,80.2,60.4,3374,3220,3000,3841
2018,Nanyang Technological University,Sciences,Biological Sciences,No,80.1,67,3319,3250,3035,3650
2018,Nanyang Technological University,Sciences,Biomedical Sciences & Chinese Medicine,No,90.9,81.8,2953,3000,2700,3100
2018,Nanyang Technological University,Sciences,Chemistry & Biological Chemistry,No,77.6,63.9,3427,3200,3000,3725
2018,Nanyang Technological University,Sciences,Environmental Earth Systems Science,No,76.2,57.1,3389,3440,3150,3900
2018,Nanyang Technological University,Sciences,Mathematical Sciences,No,87.1,75.9,3744,3650,3360,4000
2018,Nanyang Technological University,Sciences,Mathematics & Economics,No,96.3,83.3,3569,3600,3200,4000
2018,Nanyang Technological University,Sciences,Physics & Applied Physics,No,80.2,74.1,3576,3400,3025,3800
2018,Nanyang Technological University,National Institute of Education (NIE),Arts (With Education),No,100,99.2,3751,3800,3600,3806
2018,Nanyang Technological University,National Institute of Education (NIE),Science (With Education),No,100,100,3738,3800,3600,4000
2018,Nanyang Technological University,Sciences,Sport Science and Management,No,87,61.1,3382,3300,3000,3600
2018,National University of Singapore,Arts & Social Sciences,Arts,No,83.7,56.6,3322,3200,2800,3600
2018,National University of Singapore,Arts & Social Sciences,Arts ,Yes,87.5,60.8,3377,3300,3000,3600
2018,National University of Singapore,Arts & Social Sciences,Social Sciences,No,88.2,74.5,3526,3400,3200,3800
2018,National University of Singapore,Dentistry,Dental Surgery,No,100,100,4228,4050,4000,4450
2018,National University of Singapore,Engineering,Biomedical Engineering,No,79.4,69.8,3444,3389,3280,3650
2018,National University of Singapore,Engineering,Chemical Engineering,No,89.9,84.1,4050,4000,3500,4300
2018,National University of Singapore,Engineering,Civil Engineering,No,91.8,89.8,3627,3500,3300,3900
2018,National University of Singapore,Engineering,Electrical Engineering,No,91,83.4,3982,3700,3400,4546
2018,National University of Singapore,Engineering,Environmental Engineering,No,88.9,74.6,3518,3400,3000,3868
2018,National University of Singapore,Engineering,Industrial and Systems Engineering,No,91.5,87.8,4051,3895,3600,4500
2018,National University of Singapore,Engineering,Materials Science and Engineering,No,88.6,86.4,3794,3600,3500,4305
2018,National University of Singapore,Engineering,Mechanical Engineering,No,92.8,86.9,3877,3700,3300,4100
2018,National University of Singapore,Law,Law,No,97.3,92.6,5263,5500,4500,5840
2018,National University of Singapore,Sciences,Science,No,81.6,47.2,3289,3100,2900,3850
2018,National University of Singapore,Sciences,Science,Yes,87.3,72.8,3460,3400,3000,3725
2018,National University of Singapore,Sciences,Pharmacy,No,96.6,93.2,3723,3650,3500,3900
2018,National University of Singapore,Business,Business Administration,No,95.7,84.8,3732,3225,3000,3750
2018,National University of Singapore,Business,Business Administration,No,96.6,90.9,4424,3895,3300,4748
2018,National University of Singapore,Business,Accountancy,No,95.2,95.2,3522,3020,2700,3500
2018,National University of Singapore,Business,Accountancy,Yes,97.6,95.3,3683,3200,3000,4000
2018,National University of Singapore,Computing and Information Systems,Computer Science,No,96.9,91.8,4658,4320,3900,5000
2018,National University of Singapore,Computing and Information Systems,Information Systems,No,98.4,95.3,4472,4458,4000,5000
2018,National University of Singapore,Computing and Information Systems,Business Analytics,No,93.5,93.5,4499,4500,4000,5000
2018,National University of Singapore,Design & Environment,Industrial Design,No,87,69.6,3371,3250,3000,3800
2018,National University of Singapore,Design & Environment,Project and Facilities Management,No,89,84.6,3237,3060,3000,3300
2018,National University of Singapore,Design & Environment,Real Estate,No,91.7,85.1,3372,3300,3000,3600
2018,National University of Singapore,Medicine,Nursing,No,94.6,94.6,3469,3450,3300,3500
2018,National University of Singapore,Medicine,Nursing,Yes,98,98,3546,3550,3400,3750
2018,National University of Singapore,Arts & Social Sciences,Music,No,81,23.8,2100,1800,1500,2700
2018,National University of Singapore,Arts & Social Sciences,Arts,Yes,90.5,81.1,4381,3630,3275,4642
2018,National University of Singapore,Sciences,Science,Yes,89.5,78.9,5136,4800,3600,6435
2018,National University of Singapore,Multidisciplinary,Computer Engineering,No,88.6,84.3,4188,3975,3500,4900
2018,National University of Singapore,Multidisciplinary,Environmental Studies,No,84.2,55.3,3385,3414,3000,3600
2018,Singapore Institute of Technology,DigiPen Institute of Technology,Game Design,No,86.7,86.7,3324,3300,3196,3500
2018,Singapore Institute of Technology,DigiPen Institute of Technology,Digital Art and Animation,No,91.2,52.9,2861,2800,2600,3000
2018,Singapore Institute of Technology,DigiPen Institute of Technology,Computer Science and Game Design,No,94.7,89.5,3576,3600,3300,4000
2018,Singapore Institute of Technology,DigiPen Institute of Technology,Computer Science in Real-Time Interactive Simulation,No,96.8,96.8,4088,4016,3830,4200
2018,Singapore Institute of Technology,Newcastle University,Chemical Engineering,Yes,84.6,76.9,3451,3300,3000,3600
2018,Singapore Institute of Technology,Newcastle University,Electrical Power Engineering,Yes,94.5,81.8,3438,3343,3050,3500
2018,Singapore Institute of Technology,Newcastle University,Marine Engineering,Yes,97.1,94.3,3439,3250,3000,3600
2018,Singapore Institute of Technology,Newcastle University,Mechanical Design and Manufacturing Engineering,Yes,93.5,82.3,3484,3253,3100,3600
2018,Singapore Institute of Technology,Newcastle University,Naval Architecture,Yes,100,100,3479,3400,3300,3800
2018,Singapore Institute of Technology,Newcastle University,Offshore Engineering,Yes,92.3,84.6,3545,3510,3100,3850
2018,Singapore Institute of Technology,Newcastle University,Food and Human Nutrition,Yes,90.4,69.2,2895,2900,2625,3200
2018,Singapore Institute of Technology,Singapore Institute of Technology,Accountancy,Yes,96.3,91.5,3216,3075,3000,3250
2018,Singapore Institute of Technology,Singapore Institute of Technology,Information Security,Yes,100,100,4116,4045,4000,4400
2018,Singapore Institute of Technology,Singapore Institute of Technology,Software Engineering,Yes,95.7,95.7,3914,4000,3600,4300
2018,Singapore Institute of Technology,Singapore Institute of Technology,Sustainable Infrastructure Engineering (Land),Yes,98.3,96.6,3688,3550,3400,3800
2018,Singapore Institute of Technology,Singapore Institute of Technology,Hospitality Business,Yes,92.1,81.6,2991,2825,2600,3175
2018,Singapore Institute of Technology,University of Glasgow,Nursing,Yes,95.3,90.7,3536,3500,3350,3800
2018,Singapore Institute of Technology,Trinity College Dublin,Diagnostic Radiography,No,95.8,87.5,3571,3350,3300,3800
2018,Singapore Institute of Technology,Trinity College Dublin,Occupational Therapy,No,96.6,96.6,3431,3460,3300,3610
2018,Singapore Institute of Technology,Trinity College Dublin,Physiotherapy,No,100,100,3276,3300,3000,3600
2018,Singapore Institute of Technology,Technische Universität München,Chemical Engineering,No,83.7,75.5,3298,3200,3000,3550
2018,Singapore Institute of Technology,Technische Universität München,Electrical Engineering & Information Technology,No,83.3,69.4,3609,3500,3300,4000
2018,Singapore Institute of Technology,The Culinary Institute of America,Food Business Management,No,86.5,64.9,2929,2663,2415,3300
2018,Singapore Institute of Technology,The Glasgow School of Art,Communication Design,Yes,84.9,54.7,3055,2950,2550,3000
2018,Singapore Institute of Technology,The Glasgow School of Art,Interior Design,Yes,92.3,76.9,2796,2775,2500,3000
2018,Singapore Institute of Technology,University of Glasgow,Aeronautical Engineering,Yes,78,70.7,3454,3200,3000,3500
2018,Singapore Institute of Technology,University of Glasgow,Aerospace Systems,Yes,82.4,61.8,3451,3380,3025,3875
2018,Singapore Institute of Technology,University of Glasgow,Mechanical Design Engineering,Yes,94.3,90.6,3718,3500,3100,4000
2018,Singapore Institute of Technology,University of Glasgow,Mechatronics,Yes,93.7,87.3,3812,3600,3275,4298
2018,Singapore Institute of Technology,University of Glasgow,Computing Science,Yes,94.7,89.3,3996,4000,3500,4225
2018,Singapore Institute of Technology,University of Liverpool,Criminology and Security,Yes,91.9,74.2,3726,3729,3260,4100
2018,Singapore Institute of Technology,Wheelock College,Early Childhood Education,No,100,98.2,2911,2925,2800,3100
2018,Singapore Management University,Accountancy,Accountancy,No,96.4,92.3,3607,3000,3000,3650
2018,Singapore Management University,Accountancy,Accountancy,Yes,96.3,95.1,4439,3550,3013,4773
2018,Singapore Management University,Business,Business Management,No,91.6,86.5,4133,3700,3250,4500
2018,Singapore Management University,Business,Business Management,Yes,97.4,95.6,4544,4000,3500,4800
2018,Singapore Management University,Economics,Economics,No,91.1,85.6,4140,3700,3200,4600
2018,Singapore Management University,Economics,Economics,Yes,93.4,89.5,4721,4000,3500,5200
2018,Singapore Management University,Computing and Information Systems,Information Systems,No,93.6,89.5,4160,4000,3600,4600
2018,Singapore Management University,Computing and Information Systems,Information Systems,Yes,100,97.2,4659,4685,4200,5000
2018,Singapore Management University,Arts & Social Sciences,Social Sciences,No,85.6,74.4,3409,3210,3000,3710
2018,Singapore Management University,Arts & Social Sciences,Social Sciences,Yes,84.2,78.9,3880,3600,3200,4100
2018,Singapore Management University,Law,Law,No,92.7,90.8,4856,4500,4050,5600
2018,Singapore Management University,Law,Law,Yes,94.4,92.6,5256,5513,4500,6000
2018,Singapore University of Social Sciences,Business,Accountancy,No,98.7,97.5,2879,3000,2700,3000
2018,Singapore University of Social Sciences,Business,Finance,No,88,84,3393,3400,3200,3500
2018,Singapore University of Social Sciences,Business,Marketing,No,94,84,3023,3000,2650,3245
